link_id;flow
100383;152.096
101174;44.674
101175;44.674
103171;128.0615
103176;128.0615
104418;46.766999999999996
104419;46.766999999999996
106520;28.525
106521;28.525
107336;134.95649999999998
108120;85.1655
108133;85.1655
10879;20.1005
10880;20.1005
108964;38.864
108965;38.864
108966;37.397499999999994
108967;37.397499999999994
110121;117.894
111455;157.06599999999997
115647;70.08749999999999
115648;70.08749999999999
116351;54.393499999999996
116352;54.393499999999996
11638;67.61649999999999
116421;89.45649999999999
116423;89.45649999999999
117964;180.7995
117980;200.578
117982;180.7995
118508;24.8955
118509;24.8955
121817;40.565
121818;40.565
123524;18.445
123525;18.445
125057;247.051
125757;15.358
125758;15.358
127662;34.2895
127663;34.2895
135441;59.930499999999995
135455;42.224
135456;42.224
136423;170.506
13699;31.699499999999997
13700;31.699499999999997
137691;33.3585
137692;33.3585
138484;32.217499999999994
138485;32.217499999999994
138548;91.48999999999998
141272;111.734
144030;41.51
144031;41.51
144295;30.484999999999996
144296;30.484999999999996
147551;140.861
14849;221.43800000000002
14967;283.47549999999995
152085;23.1245
152086;23.1245
153212;132.643
154126;126.52499999999999
154382;20.986
154383;20.986
156078;79.282
157529;149.184
157807;63.7525
157808;63.7525
157825;39.193
157826;39.193
157883;23.1035
157884;23.1035
1595;47.8695
1596;47.8695
160745;21.314999999999998
160746;21.314999999999998
160879;42.665
160880;42.665
162676;20.191499999999998
162677;20.191499999999998
163807;27.761999999999997
163808;27.761999999999997
164967;56.1365
167999;21.4655
168000;21.4655
168228;44.625
168229;44.625
168504;283.47549999999995
170186;200.578
17071;52.7695
17072;52.7695
171127;19.424999999999997
171128;19.424999999999997
171328;224.259
173400;111.734
174203;11.3575
174204;11.3575
17483;15.889999999999999
17484;15.889999999999999
17810;148.652
17887;35.532
17888;35.532
179768;137.02499999999998
180271;55.363
180420;39.62349999999999
180421;39.62349999999999
180504;55.363
180768;128.7965
18121;86.4255
18195;27.4575
18196;27.4575
182181;22.9915
182182;22.9915
182690;162.32299999999998
18565;16.247
185650;129.01
18566;16.247
187279;108.06949999999999
187616;179.4485
187871;52.26199999999999
187872;52.26199999999999
188321;126.52499999999999
188387;117.894
194100;12.474
194101;12.474
196193;63.74899999999999
196194;63.74899999999999
196206;35.217
196207;35.217
196250;19.4705
196251;19.4705
196304;11.035499999999999
196305;11.035499999999999
196328;22.9285
196329;22.9285
200330;46.403
200331;46.403
202229;145.0505
204577;41.4925
204578;41.4925
206545;28.990499999999997
206546;28.990499999999997
206875;16.877
206876;16.877
208097;30.1805
208098;30.1805
208709;8.2775
208710;8.2775
208968;200.8475
209444;30.9295
209445;30.9295
211308;24.486
211309;24.486
212393;65.41149999999999
212394;65.41149999999999
21281;48.1985
21282;48.1985
214481;221.43800000000002
215215;37.110499999999995
215216;37.110499999999995
215881;70.553
215892;67.61649999999999
216286;157.06599999999997
216587;33.285
216588;33.285
216935;44.303
216936;44.303
223584;27.5065
223585;27.5065
224012;137.31199999999998
225468;41.251
225469;41.251
227179;12.362
227180;12.362
228852;126.71049999999998
228903;108.06949999999999
231252;20.3455
231253;20.3455
