ags;name;2015;2016;2017;2018;2019;2020;2021;2022;2023
09577;Weißenburg-Gunzenhausen, Landkreis;22074;22430;23145;23812;24349;24034;24713;26643;28147
09661;Aschaffenburg, Kreisfreie Stadt;24012;24025;25432;25451;25883;25118;26228;28051;29839
09662;Schweinfurt, Kreisfreie Stadt;20579;21174;21439;22351;22916;22966;23347;24702;26073
09663;Würzburg, Kreisfreie Stadt;23732;24273;25621;24985;24959;24363;25513;27280;29290
09671;Aschaffenburg, Landkreis;23604;24104;24688;25673;26200;25874;26646;28583;30679
09672;Bad Kissingen, Landkreis;21874;22191;23062;24214;25007;24832;25518;27596;29222
09673;Rhön-Grabfeld, Landkreis;21810;22370;23007;23711;24532;24332;30563;34159;35747
09674;Haßberge, Landkreis;21034;21649;22369;23339;23938;23915;25135;27225;28982
09675;Kitzingen, Landkreis;22577;23269;23977;24698;25256;25185;25861;28147;29690
09676;Miltenberg, Landkreis;22279;22687;23563;24652;24638;24676;25532;27650;29459
09677;Main-Spessart, Landkreis;22488;22827;23775;24505;25048;24950;25701;27625;29507
09678;Schweinfurt, Landkreis;21969;22388;23250;24265;24373;24331;24983;26822;28834
09679;Würzburg, Landkreis;23446;23164;24054;24767;25475;25323;26467;28515;30400
09761;Augsburg, Kreisfreie Stadt;19795;19907;20614;21199;21822;21881;22535;23888;25528
09762;Kaufbeuren, Kreisfreie Stadt;22125;22469;23604;25694;25082;24152;24816;26439;28048
09763;Kempten (Allgäu), Kreisfreie Stadt;21701;22016;22707;23235;23991;23880;24753;26462;28190
09764;Memmingen, Kreisfreie Stadt;27606;27380;28075;29516;27906;26147;26946;29097;30544
09771;Aichach-Friedberg, Landkreis;24477;25385;26675;26944;27464;28088;27899;30298;32040
09772;Augsburg, Landkreis;24387;24779;25874;26359;26657;26603;27225;29348;31155
09773;Dillingen a.d.Donau, Landkreis;23517;24001;24882;26100;26602;25921;26625;29043;30577
09774;Günzburg, Landkreis;23099;24114;24763;25646;26308;26512;26790;29249;30742
09775;Neu-Ulm, Landkreis;23584;24115;24819;25886;26004;25770;26715;28592;30241
09776;Lindau (Bodensee), Landkreis;25421;26359;26567;26961;27204;26483;27344;29571;31304
09777;Ostallgäu, Landkreis;23304;23299;24558;25605;25936;25729;26640;29035;30505
09778;Unterallgäu, Landkreis;25411;25058;25470;26745;26899;26600;27774;30336;31720
09779;Donau-Ries, Landkreis;24194;24676;25017;26347;26940;27652;28331;31050;32580
09780;Oberallgäu, Landkreis;23512;24230;25189;26282;26873;26379;27123;29579;31225
