road_type,Kreis_Name,Str,TKZST,Anfang,Ende,FSOD,FStr,Laenge_km,Land,Zaehlart,Kreis,VonNK,NachNK,Station_km,Herkunft,Ziel,DTV_2010,DTV_2015,DTV_2019,DTV,DTVw,DTVu,DTVs,DTV_LV,DTV_SV,DTV_Bus,DTV_LoA,DTV_LZ,DTV_Ri1,DTV_Ri2,DTV_SV_Ri1,DTV_SV_Ri2,X_Koordinate,Y_Koordinate
Autobahn,Kelheim,A 93,71389038,AS Hausen (48),AS Abensberg (49),FS,4,7.092,9,MZa,273,7138029,7137019,2.879,Regensburg,Dreieck Holledau (A 9),34114,36811,40231,26151,26310,28206,22743,22451,3699,29,716,2954,13487,12663,1907,1792,720739.618,5415066.701
Autobahn,Kelheim,A 93,71379037,AS Abensberg (49),AS Siegenburg (50),FS,4,9.04,9,MZa,273,7137019,7237011,3.106,Regensburg,Dreieck Holledau (A 9),30724,33153,36224,24693,24793,25925,22632,21067,3626,24,697,2906,12563,12129,1905,1721,715719.214,5410298.282
Autobahn,Kelheim,A 93,72379036,AS Siegenburg (50),AS Elsendorf (51),FS,4,6.775,9,DZ,273,7237011,7236016,2.406,Regensburg,Dreieck Holledau (A 9),24483,26418,28799,20995,20796,22118,20132,18064,2931,37,443,2451,10414,10580,1449,1482,710359.188,5403227.146
Autobahn,Kelheim,A 93,73369100,AS Elsendorf (51),AS Aiglsbach (52),FS,4,5.531,9,MZa,273,7236016,7336001,4.381,Regensburg,Dreieck Holledau (A 9),24785,26744,29224,20158,19758,21123,20223,17823,2336,5,531,1801,10052,10107,1322,1013,704586.983,5398501.722
Autobahn,Kelheim,A 93,73369067,AS Aiglsbach (52),AS Mainburg (53),FS,4,7.385,9,MZa,273,7336001,7336010,7.123,Regensburg,Dreieck Holledau (A 9),24164,26074,28490,19319,18917,20218,19478,17191,2128,2,330,1795,9239,10080,1031,1096,701257.353,5395518.372
Autobahn,Kelheim,A 93,74359066,AS Mainburg (53),AS Wolnzach (54),FS,4,6.952,9,MZa,273,7336010,7435001,0.431,Regensburg,Dreieck Holledau (A 9),30769,33201,36285,22652,22187,27154,18037,19544,3108,24,672,2413,11213,11440,1530,1578,699122.344,5389400.032
Autobahn,Pfaffenhofen a.d.Ilm,A 93,74359065,AS Wolnzach (54),AD Holledau (55),FS,4,3.668,9,MZa,186,7435001,7435003,1.252,Regensburg,Dreieck Holledau (A 9),31316,33791,36930,25517,25811,26709,22835,21528,3989,23,823,3143,12205,13311,1893,2096,693600.73,5385731.179
Bundesstrasse,Straubing-Bogen,B 8,70409100,Pfatter (L 2146),Rinkam (SR 1),FS,2,15.468,9,DZ,278,7040012,7040013,0.556,Regensburg,Passau,6603,7213,7476,6133,6645,6416,3950,4957,1176,17,232,928,3010,3123,585,592,752526.708,5422833.042
Bundesstrasse,Straubing-Bogen,B 8,71419100,Rinkam (SR 1),(L 2142) :Straubing (St2142),FS,2,4.127,9,FZ,278,7141070,7141003,1.215,Regensburg,Passau,10215,10574,11153,9771,10665,10754,5281,7954,1818,42,274,1502,,,,,758412.865,5420690.297
Bundesstrasse,Straubing-Bogen,B 8,71429100,Aiterhofen (B 20),Straßkirchen (L 2325),FS,2,7.787,9,TMt,278,7141052,7142014,2.259,Regensburg,Passau,7844,7640,7606,7113,8034,6545,4676,6327,786,20,189,577,,,,,770203.62,5416153.33
Bundesstrasse,Neumarkt i.d.OPf,B 8,66349184,Postbauer-Heng (L 2402),Nbg. (östl. Pölling B8/B299/KV,FS,2,5.441,9,TMt19,373,6634021,6634029,2.043,Nürnberg,Neumarkt,11110,10441,11160,11116,12693,10491,6465,10256,860,28,315,517,,,,,673908.249,5464180.894
Bundesstrasse,Regensburg LK,B 8,70399114,AS Rosenhof  (A 3),Pfatter (L 2146),FS,2,9.584,9,TM18,375,7039003,7039008,4.123,Regensburg,Passau,9391,10930,9176,8150,,,,6908,1242,44,246,952,,,,,741285.572,5429914.398
Bundesstrasse,Landshut LK,B 11,75389102,AS Moosburg/Nord(A92),Einm. St2082 östl. A92,FS,2,1.992,9,TMt19,274,7538003,7538002,0.262,München,Landshut,17512,16851,17409,15273,16277,16757,9700,14643,630,32,326,272,,,,,722394.707,5374470.664
Bundesstrasse,Landshut LK,B 11,74389310,Eching :St 2082 (KV Biller),Tiefenbach,FS,2,6.694,9,DZ,274,7438027,7438039,0.05,München,Landshut,14188,15061,16051,13362,14648,13663,8442,12996,366,30,210,126,6852,6510,194,172,726212.175,5376420.717
